Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	LossPi	LossV	KL	Jc	JcNew	Time
89	156.0	0.0	0.6753247	-1.0298029	8.42333	19.287209	-14.796832	2.429437	1.05875	4.4	0.0	17.281385	-2.2351742e-08	103.48259	0.0	0.1403	0.1403	25307.82381415367
90	124.0	0.0	0.6294416	-1.222268	8.440489	23.483767	-18.451334	2.3324876	1.08878	5.1	0.0	16.72589	7.450581e-09	94.2798	0.0	0.115124986	0.115124986	25591.492044448853
91	83.0	0.0	0.64341086	-3.7441957	27.70825	21.4825	-300.7283	2.3813949	1.208867	7.0	0.0	24.68217	-1.1175871e-08	130.70645	0.0	0.0773	0.0773	25876.530277967453
92	129.0	0.0	0.704918	-3.140717	23.946325	20.369497	-307.93524	2.4557378	1.0344119	4.4	0.0	21.628416	0.0	83.48938	0.0	0.112975	0.112975	26157.56522345543
93	122.0	0.0	0.67403316	-2.362127	22.30795	19.481926	-281.38718	2.30221	0.9923439	4.1	0.0	21.983425	-2.6077032e-08	90.77919	0.0	0.10430001	0.10430001	26439.005460739136
94	82.0	0.0	0.68333334	-6.457237	37.551685	22.466946	-289.9602	2.3733332	1.1398636	5.3	0.0	33.191666	-7.450581e-09	77.685585	0.0	0.071325004	0.071325004	26727.42569422722
95	86.0	0.0	0.688	-5.7063136	37.086975	19.71456	-292.74228	2.3056	1.070275	4.5	0.0	31.92	0.0	70.413376	0.0	0.072050005	0.072050005	27012.656885623932
96	176.0	0.0	0.72131145	-1.7753952	7.9935083	19.921692	-17.146862	2.3741803	1.0921992	5.0	0.0	16.340164	-2.2351742e-08	108.06485	0.0	0.14482501	0.14482501	27283.726981639862
97	128.0	0.0	0.7356322	-4.0948234	22.986885	19.700861	-289.00473	2.4390807	0.9844604	5.8	0.0	22.206896	0.0	126.70413	0.0	0.106725	0.106725	27566.96063017845
98	164.0	0.0	0.69491524	-1.6781567	8.38416	20.003294	-13.861903	2.3682203	1.0905442	5.1	0.0	16.940678	-7.450581e-09	94.58154	0.0	0.139725	0.139725	27842.114234924316
99	173.0	0.0	0.71784234	-1.995801	7.978683	21.200514	-13.464229	2.4390044	1.0489936	4.3	0.0	16.535269	-2.0489097e-08	47.44873	0.0	0.14695	0.14695	28113.87114405632
100	122.0	0.0	0.68926555	-3.5133553	23.793913	18.085793	-301.7943	2.4237287	1.096374	5.0	0.0	22.542374	2.9802322e-08	226.68422	0.0	0.10725	0.10725	28400.2661216259
101	137.0	0.0	0.6989796	-1.1871395	8.092825	21.284994	-17.985186	2.2811227	1.0905441	5.1	0.0	16.62245	7.450581e-09	91.480286	0.0	0.112399995	0.112399995	28683.589349508286
102	127.0	0.0	0.6902174	-3.382977	22.702204	18.232447	-291.5939	2.263587	1.0012113	4.7	0.0	21.684782	-2.9802322e-08	83.934204	0.0	0.10412501	0.10412501	28969.833131313324
103	142.0	0.0	0.6200873	-0.21160354	9.078779	20.740015	-15.701823	2.2711792	1.0417272	4.5	0.0	17.375546	-2.0489097e-08	114.02542	0.0	0.13014999	0.13014999	29243.66076040268
104	104.0	0.0	0.73239434	-3.1612382	25.165243	20.679161	-284.96146	2.4014084	1.0422744	4.6	0.0	23.267605	2.9802322e-08	275.5263	0.0	0.086	0.086	29531.818211078644
105	115.0	0.0	0.6886228	-3.2577398	22.392307	20.906569	-270.61783	2.3922155	1.066136	4.8	0.0	22.790419	-7.450581e-09	84.17027	0.0	0.1011	0.1011	29815.154317617416
106	146.0	0.0	0.6636364	-0.8612113	8.1249695	22.734608	-14.46116	2.3418183	1.026856	4.6	0.0	16.977272	-1.8626451e-08	90.162926	0.0	0.129675	0.129675	30091.991119384766
107	124.0	0.0	0.6813187	-1.0854799	8.600266	22.82253	-19.084969	2.4406595	1.1262579	4.9	0.0	16.983517	-7.450581e-09	74.80943	0.0	0.112050004	0.112050004	30374.273559093475
108	162.0	0.0	0.6694215	-1.6405908	8.381021	19.09014	-13.4723	2.28843	1.0823673	5.5	0.0	16.491735	-4.656613e-08	76.733086	0.0	0.13845	0.13845	30647.302911043167
109	120.0	0.0	0.72289157	-4.0276012	24.325653	20.345783	-296.9765	2.5753012	1.0437096	4.9	0.0	22.963856	0.0	232.66792	0.0	0.10762501	0.10762501	30932.340625286102
110	122.0	0.0	0.67403316	-2.8973105	22.083899	21.145252	-279.34607	2.2850828	1.0976361	5.7	0.0	21.950275	-2.6077032e-08	78.675316	0.0	0.103925	0.103925	31216.94693684578
111	132.0	0.0	0.72527474	-2.576114	23.197243	19.966751	-292.73007	2.4214287	1.037766	5.1	0.0	21.857143	-7.450581e-09	83.026566	0.0	0.1103	0.1103	31505.620698690414
112	148.0	0.0	0.64912283	-0.88322836	7.9180984	20.422363	-16.243174	2.253509	1.090202	4.3	0.0	16.592106	-2.4214387e-08	99.307556	0.0	0.12945	0.12945	31781.272913455963
113	175.0	0.0	0.7231405	-1.6083019	7.984574	22.015148	-18.403358	2.3330576	1.0091226	4.4	0.0	16.454546	-1.1175871e-08	55.96721	0.0	0.14127499	0.14127499	32056.174732208252
114	122.0	0.0	0.68926555	-2.3651125	22.172668	23.320942	-275.5523	2.384746	1.0773183	4.8	0.0	22.576271	0.0	187.10425	0.0	0.105525	0.105525	32341.29624938965
115	167.0	0.0	0.7556561	-1.6158497	8.290693	19.57807	-15.020835	2.4873307	0.9561057	4.8	0.0	16.343891	-1.8626451e-08	73.07563	0.0	0.13805002	0.13805002	32619.346407413483
116	112.0	0.0	0.68711656	-1.0208538	7.2426577	21.026396	-15.924667	2.3754601	1.104319	4.7	0.0	16.7546	-1.4901161e-08	98.918045	0.0	0.09830001	0.09830001	32899.88337087631
117	107.0	0.0	0.6903226	-3.1886642	25.211964	21.69061	-298.3185	2.2580645	1.0581098	5.1	0.0	22.806452	-1.4901161e-08	72.473495	0.0	0.088	0.088	33192.11622786522
118	148.0	0.0	0.6788991	-1.5642035	8.476487	23.302141	-14.166502	2.3000002	1.0597299	5.6	0.0	16.674313	-1.1175871e-08	98.40043	0.0	0.12635	0.12635	33466.141875982285
119	137.0	0.0	0.6919192	-1.2899839	8.193169	20.714985	-13.347436	2.3116162	1.0734239	5.0	0.0	16.464647	-1.4901161e-08	92.91399	0.0	0.11505	0.11505	33744.48655104637
120	162.0	0.0	0.6864407	-1.2453735	8.197426	21.712566	-18.662834	2.3423731	1.0754508	5.3	0.0	16.83051	-1.4901161e-08	79.14752	0.0	0.13845	0.13845	34016.24038076401
121	136.0	0.0	0.7046632	-0.8466721	8.465432	24.159494	-15.165449	2.3891191	1.0209899	4.8	0.0	16.911917	2.9802322e-08	123.897606	0.0	0.11565	0.11565	34294.609619140625
122	165.0	0.0	0.6991525	-1.056114	7.786792	21.210043	-16.2504	2.4652538	1.085566	5.3	0.0	16.87288	-2.0489097e-08	71.31869	0.0	0.14545	0.14545	34568.3974211216
123	86.0	0.0	0.688	-4.138424	29.529287	21.205023	-320.84427	2.2944	1.0076748	4.6	0.0	24.24	1.8626451e-08	347.50928	0.0	0.0722	0.0722	34856.27803134918
124	132.0	0.0	0.7173913	-3.2743185	21.537582	19.312788	-271.02676	2.4054346	1.1165128	5.1	0.0	21.559782	-7.450581e-09	89.26955	0.0	0.1111	0.1111	35142.65474843979
