Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossCV	DeltaLossPi	DeltaLossV	DeltaLossCV	Entropy	KL	ClipFrac	StopIter	Time
66	111.0	0.0	0.46835443	9.282282	11.123771	30.189402	-11.591191	2.6660562	1.246263	5.6332054	0.66661483	16.831224	10.346484	2.5189703	16.216028	-3.0287318	268000	7.450581e-09	50.6542	0.95587313	-0.0795448	-3.2293186	-0.034289032	0.22326311	0.014284931	0.0975	18.0	31446.308835744858
67	92.0	0.0	0.4162896	10.887373	10.933851	30.5096	-9.857381	2.572771	1.1795628	6.433528	0.6677109	18.0	9.601627	3.3606246	16.924246	-6.053103	272000	2.9802322e-08	48.6211	0.8054493	-0.10027948	-2.2694626	-0.029472917	0.28285936	0.018166617	0.1575	6.0	31863.357825517654
68	53.0	0.0	0.35333332	11.95619	9.921888	29.359207	-10.195092	2.617834	1.1345012	6.526186	0.6663717	19.946667	10.874916	2.4830337	18.254637	-5.028889	276000	-4.4703484e-08	64.597435	0.6044279	-0.10926025	-19.76386	-0.06286964	0.3837787	0.01655217	0.18375	6.0	32364.320549726486
69	66.0	0.0	0.34554973	11.019998	9.681974	30.213514	-7.7869124	2.5679772	1.0815927	6.5770006	0.6669398	20.77487	9.243442	3.3616216	15.300345	-5.144732	280000	4.4703484e-08	47.54397	0.56075644	-0.07865779	-8.915916	-0.014190033	0.39694586	0.018365284	0.19600001	5.0	32830.91448760033
70	38.0	0.0	0.22485207	10.994901	9.995539	28.70054	-10.344625	2.49624	0.9972906	4.636285	0.93129694	23.47929	9.719162	2.700525	16.494148	-2.7946136	284000	-5.9604645e-08	38.569794	0.5366183	0.0012602657	-2.7350025	-0.046799436	0.43519408	0.012653144	0.145	6.0	33311.62401866913
71	45.0	0.0	0.2616279	10.437281	10.657426	27.437588	-10.507271	2.5944698	0.9826775	5.484216	0.9155167	23.081396	10.14344	2.7718532	16.04741	-0.91578156	288000	-1.4901161e-08	37.69979	0.50032914	-0.033629462	-2.694683	-0.016392961	0.4748462	0.013493186	0.20975	17.0	33806.03483366966
72	57.0	0.0	0.33529413	6.710299	9.6308	28.585115	-10.619252	2.840362	0.9950619	4.776032	0.914801	23.335295	9.14774	3.9299827	16.81607	1.4884951	292000	-1.4901161e-08	38.474426	0.5022743	-0.07109489	-3.74481	-0.027302817	0.52867687	0.0128688	0.19675	17.0	34332.352476119995
73	46.0	0.0	0.26900584	9.449242	9.834274	31.889269	-12.036112	2.7014484	1.0372351	6.869129	0.9149966	23.380117	8.1459875	3.3778362	15.443709	-0.107036725	296000	-8.940697e-08	38.775482	0.52003586	-0.05237782	-2.2470846	-0.024571508	0.48755336	0.014614683	0.22275	8.0	34829.10121846199
74	41.0	0.0	0.23976608	10.787761	9.647821	27.84846	-12.105711	2.5022247	1.0039754	5.1647477	0.6676611	23.210526	9.499333	3.157967	16.759144	1.3903208	300000	4.4703484e-08	34.093727	0.51975185	-0.057539023	-1.2389431	-0.028427005	0.42800897	0.013591538	0.134	6.0	35312.934705257416
75	48.0	0.0	0.26086956	12.742262	9.820506	27.93829	-9.802063	2.428836	1.0153384	5.5406494	0.5608441	21.641304	10.287223	2.4426672	16.093441	1.3721442	304000	6.61239e-08	36.858315	0.50779986	-0.051645085	-1.2663708	-0.017080665	0.374	0.015304131	0.124	6.0	35773.35108733177
76	59.0	0.0	0.30569947	13.111002	10.004994	29.397072	-11.102013	2.4520757	1.0243814	5.809719	0.6677096	20.683937	10.900816	2.3748696	16.892113	0.78634065	308000	-4.1909516e-08	39.800762	0.507474	-0.010016354	-2.5405807	-0.008891553	0.3563299	0.012588274	0.119500004	9.0	36213.54377913475
77	72.0	0.0	0.34615386	12.33494	10.302248	29.116735	-9.274908	2.451984	1.133993	5.795812	0.8965085	19.216347	11.363343	2.6275392	16.7195	-0.574208	312000	-2.9802322e-08	42.11341	0.68806124	-0.013959244	-1.9403343	-0.041948736	0.31303972	0.012813113	0.107	27.0	36638.532009363174
78	65.0	0.0	0.31862745	14.306057	10.232008	30.133814	-9.190262	2.4546936	1.1150584	6.834649	0.6675352	19.450981	10.790695	2.4841878	16.878202	-3.0931356	316000	2.2351742e-08	44.275764	0.6583072	-0.1655972	-3.2623005	-0.01794681	0.2673443	0.018027032	0.16525	14.0	37057.07770371437
79	60.0	0.0	0.30612245	14.170474	10.039725	29.942595	-10.078715	2.366685	1.0569187	5.577452	0.6664613	20.214285	12.015156	2.5879905	18.523195	-3.0808334	320000	-5.9604645e-08	37.135998	0.5532265	-0.09671411	-0.8280239	-0.015859038	0.3413216	0.0127555905	0.1415	4.0	37487.67455339432
80	67.0	0.0	0.3401015	12.417912	10.261357	29.788681	-11.295522	2.5596342	1.0906917	5.0847507	0.6675758	20.162437	11.901737	2.8266659	18.704592	-2.85344	324000	-6.7055225e-08	45.178696	0.6416813	-0.08657699	-3.3315372	-0.041569084	0.3776937	0.015040651	0.13925001	4.0	37927.697645664215
