Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time
50	3.164367	0.0	46.0	0.0	0.23589744	17.108273	9.08135	30.52113	-3.000869	2.2246482	1.0388913	5.5572653	0.7625362	20.328205	13.549627	5.703964	23.359713	-8.132939	204000	-1.1175871e-08	17.621037	0.2635029	-0.008278958	-5.297054	-0.055412598	0.33994994	0.0121786175	0.09775	38.0	9695.496187925339
51	3.2043285	0.0	46.0	0.0	0.24338624	17.35992	9.726071	29.72933	-2.986432	2.23486	0.95817685	5.0334444	0.90996957	20.777779	13.231752	5.517691	22.19211	-6.6867094	208000	9.313226e-10	15.246322	0.19345301	-0.009350158	-4.346527	-0.034974497	0.3706715	0.003803622	0.042500004	79.0	9886.25589799881
52	3.2443433	0.0	38.0	0.0	0.20212767	18.163473	9.346985	31.253754	-3.9288385	2.180461	0.9744749	5.309088	0.65523446	21.117022	13.810943	5.3336444	23.530355	-5.557075	212000	-1.3038516e-08	16.454098	0.19192582	-0.0069285342	-4.9768453	-0.037644405	0.33966637	0.0030772835	0.0715	79.0	10068.411737680435
53	3.2846675	0.0	37.0	0.0	0.1957672	18.17339	9.079445	31.392956	-6.946585	2.3317153	0.97833633	5.3088307	0.9137001	21.031746	13.346676	5.613789	23.38335	-6.0445065	216000	4.656613e-10	17.946522	0.22953314	-0.007032633	-5.4818044	-0.02954397	0.36948356	0.003210194	0.052	79.0	10260.318565368652
54	3.325051	0.0	40.0	0.0	0.21621622	17.74904	8.982823	30.269726	-2.4643545	2.1944613	1.0071648	5.0099554	0.90548974	21.275675	14.078329	5.490303	24.428469	-7.408465	220000	-3.7252903e-09	15.30216	0.21514206	-0.006692074	-5.043633	-0.03422207	0.33160406	0.0070902347	0.083	79.0	10452.351131677628
55	3.365432	0.0	36.0	0.0	0.19251336	18.396376	8.507592	29.822527	-2.0690992	2.1552198	0.8999206	4.964236	0.93254304	21.122995	13.713577	5.1758466	23.096	-8.036583	224000	5.5879354e-09	15.679452	0.19641599	-0.009997648	-4.476424	-0.037959114	0.3475393	0.0059070615	0.05325	79.0	10641.409333467484
56	3.4059227	0.0	32.0	0.0	0.17204301	18.2809	8.670811	30.389822	-2.4833267	2.2155733	0.94713324	5.2767944	0.91411203	21.290323	14.045985	4.950287	22.759861	-5.038909	228000	-1.8626451e-08	13.640394	0.18859951	-0.0069221053	-4.1883607	-0.027325677	0.3257156	0.006077769	0.0435	79.0	10827.397668123245
57	3.4465716	0.0	39.0	0.0	0.20967741	17.964838	9.0678215	30.231934	-6.561601	2.2451138	0.9595355	5.2755613	0.8284376	21.241936	13.148462	5.69677	23.89566	-10.137823	232000	-1.8626451e-09	18.952957	0.23753953	-0.0075899675	-6.2923775	-0.054758765	0.33076185	0.0064624203	0.044	79.0	10996.492332696915
58	3.487421	0.0	36.0	0.0	0.1904762	18.627768	8.87016	29.292807	-3.827784	2.2738867	0.9407377	5.1912966	0.9128552	20.978836	13.825342	4.883764	23.050436	-5.091996	236000	-6.519258e-09	16.466751	0.22280118	-0.007910281	-4.799489	-0.051943842	0.3297559	0.0077743866	0.04	79.0	11164.872105360031
59	3.5282464	0.0	34.0	0.0	0.17894737	18.741434	8.598434	29.201275	-5.224632	2.149048	0.9310774	5.138595	0.9094549	20.894737	14.28182	5.0818887	25.130526	-5.4048395	240000	5.5879354e-09	18.412125	0.19616693	-0.00939331	-5.8640413	-0.031023905	0.29222113	0.00848697	0.0585	79.0	11332.71522808075
60	3.5691311	0.0	37.0	0.0	0.19680852	18.70058	8.77105	29.821608	-2.8693416	2.1906698	0.9534183	5.0542974	0.6790799	21.01064	14.080104	5.352503	28.894178	-5.9483237	244000	-7.450581e-09	17.1195	0.20248741	-0.007162649	-6.4374037	-0.04855518	0.2978675	0.0034519946	0.043250002	79.0	11500.74423956871
61	3.6102362	0.0	45.0	0.0	0.2356021	17.599861	9.747097	28.612051	-5.1373343	2.2825098	0.9306623	4.7262545	0.9088578	20.675392	13.781069	5.4579487	23.271526	-7.740604	248000	-9.313226e-09	17.961245	0.21889266	-0.005574225	-7.0547743	-0.050492216	0.295963	0.0122222565	0.0785	20.0	11666.206014871597
62	3.6513019	0.0	36.0	0.0	0.19354838	17.519857	9.08056	31.060047	-3.6631823	2.1403582	0.9157928	5.455525	0.90970343	21.290323	13.673381	5.375289	23.288721	-6.4533014	252000	3.7252903e-09	19.708342	0.19061181	-0.0056981063	-6.8687983	-0.04422814	0.31133822	0.0039667347	0.039	79.0	11837.242071390152
63	3.6925042	0.0	41.0	0.0	0.21925133	17.66202	9.4246855	29.737047	-7.178121	2.2341917	0.8945119	5.2144213	0.921894	21.053476	13.253551	5.3954196	23.150146	-6.4580326	256000	3.7252903e-09	16.685059	0.19008319	-0.007599596	-6.1119814	-0.040348537	0.29243582	0.0075470544	0.03675	79.0	12007.707629203796
64	3.7336266	0.0	32.0	0.0	0.17297298	19.096771	8.141362	28.818687	-1.909765	2.1133165	0.87779766	4.767514	0.898162	21.324324	14.141999	5.140575	23.305195	-4.903395	260000	-3.7252903e-09	13.537128	0.15235591	-0.0062391832	-4.8050222	-0.027571436	0.26021582	0.0018031569	0.077	79.0	12176.25402188301
65	3.7745821	0.0	38.0	0.0	0.2	18.134317	8.889949	31.723774	-5.2710004	2.054326	0.9065977	4.7547183	0.9165671	20.789474	13.941003	5.0390673	24.246344	-6.731213	264000	-3.7252903e-09	16.592062	0.18406284	-0.0071494905	-5.8824625	-0.04868379	0.23763937	0.006338399	0.078999996	79.0	12343.567641019821
66	3.8154593	0.0	34.0	0.0	0.1827957	18.94564	8.562178	28.912966	-1.9365028	2.0896955	0.886981	5.1270595	0.9220288	21.42473	13.702043	5.243259	23.645723	-6.6645904	268000	-8.614734e-09	16.076443	0.1644811	-0.0079053575	-6.1374636	-0.053432524	0.24691842	0.00631853	0.035	79.0	12513.35624074936
67	3.8565757	0.0	31.0	0.0	0.17127071	18.717306	8.11213	29.646574	-4.3231945	2.2600737	1.0060444	4.968948	0.91396874	21.718231	14.179995	4.9376116	24.374943	-4.124589	272000	7.450581e-09	17.453669	0.25942522	-0.006854477	-6.681158	-0.08511295	0.2529595	0.0039539034	0.03125	79.0	12681.940742969513
68	3.8974617	0.0	29.0	0.0	0.1576087	18.930454	8.736647	30.785246	-2.4902494	2.0050557	0.8409206	4.316647	0.90089655	21.494566	14.114485	4.7852488	24.17548	-9.120084	276000	2.2351742e-08	14.82472	0.17115763	-0.006675439	-6.764955	-0.07511336	0.24599051	0.006683939	0.03125	79.0	12850.876735687256
69	3.938389	0.0	34.0	0.0	0.18181819	18.675238	8.519933	29.802809	-1.9575223	2.1390064	0.92738503	4.698264	0.6677942	21.171124	13.904248	5.2975793	23.254705	-7.550877	280000	-7.450581e-09	14.680039	0.19829112	-0.0081399735	-5.14215	-0.052676238	0.24496654	0.004797313	0.092250004	79.0	13021.684504508972
70	3.9792106	0.0	31.0	0.0	0.1693989	18.25006	8.243423	28.416822	-4.6882954	2.0547645	0.8837495	4.958179	0.9104533	21.5847	14.291435	4.9176073	26.01209	-5.943759	284000	-5.5879354e-09	12.485218	0.14413661	-0.006060573	-5.855099	-0.04137283	0.23647283	0.005644409	0.025	79.0	13191.280421972275
71	4.0201936	0.0	30.0	0.0	0.16393442	19.07086	8.389631	29.39688	-5.0619397	2.1926885	1.0155935	6.739858	0.9206934	21.754099	13.7075615	5.2191863	23.280272	-7.1658134	288000	0.0	16.30285	0.26313922	-0.0066124774	-6.7212257	-0.096665725	0.22026679	0.0068519353	0.039499998	79.0	13360.665901184082
72	4.061255	0.0	30.0	0.0	0.16483517	18.799883	8.085098	30.20941	-1.0596063	2.1512573	0.9186153	4.8295574	0.909085	21.752747	14.296465	4.999569	24.272371	-6.3005614	292000	1.8626451e-09	15.084983	0.2076087	-0.00599321	-6.837137	-0.05485066	0.23551437	0.005650695	0.079500005	79.0	13528.734481334686
73	4.102472	0.0	38.0	0.0	0.2010582	18.140574	8.884096	30.045542	-4.3691244	2.193882	0.98429936	4.958977	0.91592115	21.005291	13.460484	5.224657	23.079409	-5.8399067	296000	0.0	18.459503	0.21139017	-0.0052875774	-8.517698	-0.057232004	0.22223492	0.012549247	0.031000001	29.0	13695.587180137634
74	4.1437087	0.0	26.0	0.0	0.1436464	19.677	7.79187	31.11911	-2.996119	2.1238241	0.91176414	5.3349595	0.9115566	21.823204	14.419467	4.6560864	24.4409	-8.426093	300000	-1.8626451e-09	14.907192	0.21916427	-0.0065208217	-6.1728764	-0.057701483	0.2120421	0.0041191094	0.031999998	79.0	13864.396396875381
