Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
77	26.0	0.0	0.13978495	18.877832	8.362663	29.708258	-6.0967493	2.041877	0.8374063	4.1839776	0.9095464	21.349463	14.008461	3.8998468	21.501877	3.3463655	312000	7.916242e-09	19.598225	-0.004778307	-0.836246	0.21702212	0.002584692	0.02	79.0	19406.91891145706
78	47.0	0.0	0.24226804	16.752762	9.675886	29.276009	-4.469101	2.2479885	0.94843066	4.491908	0.91272306	20.536083	13.851857	4.1309257	21.526674	3.8782299	316000	-2.2351742e-08	25.14119	-0.005040467	-3.0579834	0.23127744	0.0029251156	0.0225	79.0	19644.18418097496
79	34.0	0.0	0.1827957	17.751131	9.243482	29.9437	-10.742363	2.147795	0.9628256	4.560812	0.89892834	21.435484	13.008773	4.474628	20.770716	1.840585	320000	-1.8626451e-09	24.44682	-0.006565313	-0.99256325	0.22279188	0.0033747535	0.051	79.0	19881.509757995605
80	35.0	0.0	0.18817204	18.059547	9.009946	30.365292	-6.9355683	2.2098937	0.9849015	5.078221	0.89935184	21.392473	13.454853	4.216885	21.008602	3.2264457	324000	1.8626451e-09	23.444773	-0.0060808286	-0.6323719	0.22001714	0.0033244654	0.052	79.0	20119.4322412014
81	29.0	0.0	0.15591398	18.865639	8.414913	28.818619	-6.8890066	2.008514	0.8325317	5.1026387	0.91301566	21.317204	13.998629	4.0581026	21.308466	3.4594288	328000	0.0	20.436163	-0.004576508	-0.7141237	0.21698855	0.0040573906	0.05275	79.0	20355.41742539406
82	34.0	0.0	0.18181819	18.670225	9.131687	30.13568	-4.5723214	2.189266	0.9406923	4.6796246	0.9120359	21.283422	13.877495	4.170328	21.557116	4.209965	332000	-1.8626451e-09	22.37754	-0.0054576574	-1.0340528	0.23289412	0.004263919	0.02575	79.0	20591.93897652626
83	41.0	0.0	0.21578947	17.932901	9.3947315	30.39594	-7.6025233	2.2116277	0.9526431	4.690927	0.9262811	20.968422	14.034955	4.325124	21.691002	3.6796014	336000	-4.656613e-09	24.99196	-0.005507378	-1.2086763	0.2299735	0.0057875416	0.030000001	79.0	20829.797718524933
84	46.0	0.0	0.23834197	17.281075	10.139514	30.025764	-6.278057	2.3129041	0.9520243	4.8567095	0.9089736	20.601036	13.243186	4.581941	21.257696	0.22143634	340000	1.1175871e-08	24.711775	-0.0074808113	-1.71099	0.23524016	0.0046441862	0.0365	79.0	21070.506772756577
85	32.0	0.0	0.171123	18.7442	9.1739025	28.863499	-6.808831	2.129693	0.9407049	5.064264	0.8963763	21.235294	13.838845	4.875899	22.121836	1.5702597	344000	-3.7252903e-09	20.840714	-0.004278794	-0.9550457	0.233457	0.004072206	0.0555	79.0	21309.29768180847
86	26.0	0.0	0.14285715	19.244385	8.502186	30.720427	-5.9542055	2.1056423	0.94925207	5.810788	0.91895336	21.84066	14.057291	4.550444	22.022202	1.5564175	348000	-1.8626451e-09	22.562187	-0.0073321834	-1.4050398	0.2299652	0.004594425	0.0305	79.0	21550.265326976776
