Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
60	6.949169	0.1420765	0.0026715237	0.17588934	4.987167	4.986546	0.18898489	-4.02129	-30.669878	0.5981146	0.5906319	0.009934572	20.325336	6.6995687	30.928108	1.3124037	2.527741	1.577683	7.1114697	0.92914706	21.956284	65000	240000.0	12478.798148870468
61	7.0455823	0.114754096	0.002417489	0.17193455	5.0505214	5.0498266	0.18818213	-4.076037	-31.163195	0.5879557	0.5804963	0.0097925505	20.033947	6.277221	29.526453	2.5662894	2.3211195	1.3327489	7.7075243	0.9300166	21.797813	66000	244000.0	12679.844521045685
62	7.141735	0.083333336	0.0021873503	0.18317461	5.111045	5.1108007	0.1872133	-4.125494	-31.749401	0.5891924	0.58157307	0.010099566	20.401579	5.4981275	34.600166	3.2993073	2.4594421	1.3858597	7.585796	0.92084056	22.13889	67000	248000.0	12881.654299736023
63	7.2377186	0.083333336	0.0019791648	0.17729935	5.181292	5.180862	0.18438168	-4.1927247	-32.23121	0.566157	0.5592312	0.009408974	20.611282	5.825156	29.805193	0.6920652	2.3731303	1.3334944	7.0221567	0.9112781	22.26111	68000	252000.0	13081.324892044067
64	7.3336163	0.08196721	0.0017908578	0.18150117	5.238557	5.237885	0.18303871	-4.2405334	-32.775593	0.55849105	0.55136347	0.009525858	20.022676	5.532954	30.297724	1.4201714	2.1936302	1.1703762	7.168133	0.90139353	21.961748	69000	256000.0	13281.453844070435
65	7.428991	0.06666667	0.0016203852	0.18009034	5.303086	5.30375	0.181163	-4.3038225	-33.284798	0.5535156	0.5450657	0.009592987	20.63319	5.8852205	30.806292	0.49223566	2.1575243	1.1297965	7.1899114	0.9308014	22.088888	70000	260000.0	13482.462474822998
66	7.524759	0.061797753	0.0014661362	0.18242508	5.3761854	5.377255	0.17982122	-4.372375	-33.818058	0.54254895	0.53525114	0.00966264	20.925076	5.0386024	28.910942	1.7443295	2.1815317	1.1580399	7.092546	0.91947514	22.438202	71000	264000.0	13685.276037454605
67	7.6204114	0.061452515	0.0013267255	0.1715878	5.4404306	5.440454	0.17740494	-4.4338827	-34.26413	0.5305272	0.5229215	0.0092212465	21.132065	5.529104	31.431622	-0.117776565	2.1990902	1.184702	7.655723	0.9127045	22.340782	72000	268000.0	13888.493872642517
68	7.716264	0.056179777	0.0012005267	0.17453317	5.5090647	5.5096693	0.17663303	-4.483556	-34.800705	0.52906495	0.52192193	0.009349228	20.643015	5.086528	29.707924	2.0451403	2.166935	1.1551806	6.580699	0.9100452	22.561798	73000	272000.0	14091.916824102402
69	7.812007	0.044444446	0.0010863637	0.16922687	5.562826	5.56281	0.17479129	-4.5406327	-35.28169	0.5182075	0.51093805	0.009029083	21.04829	5.110554	29.913813	1.8416969	2.08174	1.0845907	6.9133863	0.6652179	22.205555	74000	276000.0	14295.856761693954
70	7.907286	0.06779661	0.0009829913	0.17743464	5.630692	5.6311455	0.1722535	-4.614502	-35.855602	0.5147233	0.50693905	0.009351467	20.733757	5.582676	29.836058	2.047892	2.1672797	1.2363155	8.072613	0.92019755	22.644068	75000	280000.0	14500.524989843369
71	8.002498	0.050847456	0.0008893455	0.181877	5.681411	5.681199	0.17008743	-4.659733	-36.40493	0.50422215	0.4970849	0.009025232	20.910107	5.337656	30.997244	-0.65524215	2.1443827	1.0870562	6.417536	0.8931541	22.559322	76000	284000.0	14705.80377650261
