Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
78	0.02259887	0.00044227685	0.085585795	14.739587	14.741215	-14.69463	-39.281017	0.25272816	0.2546779	21.32953	4.0938807	27.519741	-1.2907189	1.8347199	0.5999074	4.509194	0.66778576	22.435028	25000	312000.0	13485.883791446686
79	0.016666668	0.00040018646	0.08335604	14.736436	14.735564	-14.689289	-39.772095	0.2442826	0.24566098	21.824629	4.069227	28.304272	-0.76894945	1.7742606	0.6135005	4.5317907	0.6673776	22.45	25000	316000.0	13659.561134815216
80	0.0056818184	0.00036212278	0.08116994	14.723873	14.72441	-14.678417	-40.26292	0.25062132	0.2511752	21.833534	3.3724635	27.762968	-1.3833017	1.8505429	0.60143214	3.949853	0.9103679	22.568182	25000	320000.0	13835.97241806984
81	0.011235955	0.00032765238	0.0826698	14.743311	14.743352	-14.696623	-40.783207	0.23912357	0.24049705	21.245049	3.7566311	28.873741	0.5504237	1.8326749	0.5757633	3.8029213	0.8688499	22.494383	25000	324000.0	14011.533857584
82	0.0056179776	0.000296434	0.080476776	14.738339	14.739514	-14.692418	-41.27431	0.25575194	0.25690973	21.893127	3.2023191	29.94627	1.7277186	1.8091056	0.5224951	3.7528412	0.7219787	22.511236	25000	328000.0	14187.678089618683
83	0.016666668	0.00026818842	0.081013456	14.730621	14.729719	-14.68302	-41.787445	0.25975567	0.26260564	21.425934	4.0930257	29.529213	-1.5591291	1.8157274	0.56237704	4.178676	0.9206563	22.11111	25000	332000.0	14364.563194990158
84	0.005586592	0.00024263552	0.0801174	14.740223	14.7405405	-14.693953	-42.28881	0.25401217	0.2558762	21.395996	3.612444	31.180271	0.8121424	1.8434651	0.57671607	3.701658	0.9158212	22.418995	25000	336000.0	14538.711371660233
85	0.011111111	0.00021951635	0.07831167	14.729168	14.729641	-14.682611	-42.78222	0.24602081	0.24749231	21.903896	3.7461982	28.48959	-2.8658316	1.8297341	0.5763357	3.879901	0.9099564	22.316668	25000	340000.0	14713.338648080826
86	0.005586592	0.00019860142	0.07621556	14.729799	14.7306385	-14.683096	-43.272846	0.24641518	0.24849844	21.601467	3.2407765	29.518387	2.8134553	1.8411587	0.577745	4.0303073	0.90969205	22.26257	25000	344000.0	14889.37250161171
87	0.03314917	0.000179679	0.07363928	14.732392	14.733953	-14.684634	-43.75893	0.25555363	0.257588	21.22491	4.7650642	30.414648	-0.9141976	1.7876058	0.68476367	4.9372783	0.9208826	22.088398	25000	348000.0	15064.059738397598
88	0.016574586	0.00016255924	0.07457605	14.745346	14.746035	-14.698956	-44.275154	0.2501219	0.2523672	21.233332	3.98644	28.410515	-2.8491256	1.8448397	0.6199436	4.680367	0.66538644	22.21547	25000	352000.0	15238.533545017242
89	0.016949153	0.00014706976	0.07507917	14.742309	14.743409	-14.694901	-44.787655	0.25377253	0.2560169	21.18039	4.472898	31.16131	-1.3641361	1.8090866	0.6194734	4.94273	0.9189218	22.485876	25000	356000.0	15413.808739185333
90	0.016666668	0.00013305616	0.07461426	14.751594	14.7521305	-14.704532	-45.291718	0.24426486	0.24595298	21.452751	4.0654216	28.71929	-1.0621456	1.7902678	0.5798246	4.4245667	0.9092198	22.244444	25000	360000.0	15589.538558483124
