Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
84	0.022346368	0.00024250534	0.06098957	16.135456	16.134817	-16.074444	-42.132233	0.6950044	0.69261265	21.483315	4.0042706	29.841923	0.05112766	1.9272486	0.6505778	3.9450698	0.9178827	22.346369	25000	336000.0	18954.36716580391
85	0.028089888	0.00021939861	0.060355783	16.127813	16.128576	-16.068615	-42.63368	0.6890416	0.6869697	21.589045	4.014089	28.64976	-0.23501822	1.8458921	0.6745941	5.2310863	0.6670337	22.297752	25000	340000.0	19173.37619781494
86	0.0056497175	0.00019849319	0.059778944	16.12641	16.126907	-16.066326	-43.135532	0.7165883	0.7157348	21.806847	3.6957457	29.131153	-3.7790241	1.8952752	0.6191812	4.0309186	0.66295004	22.559322	25000	344000.0	19395.050334453583
87	0.027777778	0.00017957977	0.059627235	16.149746	16.149366	-16.088112	-43.64084	0.7001399	0.6994095	21.520592	4.334027	29.49266	-1.5672562	1.8060489	0.7312099	5.355645	0.66776097	22.383333	25000	348000.0	19616.736544132233
88	0.016853932	0.00016246851	0.059391648	16.169176	16.169695	-16.1102	-44.145454	0.69180536	0.6892732	21.531311	3.8545263	29.83403	-1.9344691	1.8401046	0.6564876	4.843327	0.90240103	22.449438	25000	352000.0	19843.730259656906
89	0.022346368	0.00014698764	0.058684666	16.159788	16.159012	-16.099806	-44.645836	0.70769167	0.7051831	21.588465	3.908355	29.04788	1.7938308	1.8343633	0.6737917	4.841533	0.90899	22.329609	25000	356000.0	20068.22792863846
90	0.016949153	0.00013298189	0.06091462	16.18095	16.180075	-16.12095	-45.17226	0.70912534	0.7064556	21.57988	3.99171	28.688667	-1.1204197	1.8851027	0.5786278	4.9245667	0.92711455	22.429379	25000	360000.0	20288.301183223724
91	0.010928961	0.00012030895	0.06618977	16.183971	16.183388	-16.13085	-45.726795	0.72142905	0.7181122	21.451302	3.6992903	27.87235	1.6645257	1.8512828	0.651552	5.2043195	0.93181205	22.180328	25000	364000.0	20505.260222911835
92	0.016574586	0.00010884346	0.06443196	16.213724	16.213007	-16.152802	-46.218124	0.73306346	0.7301039	21.587437	3.9547224	29.08617	4.1718416	1.8270677	0.5796881	4.3106527	0.91563576	21.883978	25000	368000.0	20724.020189523697
93	0.011363637	9.8470206e-05	0.068136185	16.192991	16.190386	-16.131407	-46.75937	0.7450834	0.74414974	22.268488	3.5594287	28.497692	5.9756927	1.787001	0.56829566	4.1201086	0.9102154	22.801136	25000	372000.0	20955.812574386597
