Epoch	Crash_ratio	Eval_Q	Target_Q	TD_error	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	TotalEnvInteracts	Time
91	0.0055555557	15.237837	13.803258	0.40495405	21.448923	3.4328496	28.838797	-0.7088415	1.8555831	0.60278404	4.89998	0.6865125	22.194445	364000.0	32173.047867774963
92	0.016759777	15.244094	13.811947	0.40149617	21.232763	3.9715488	28.027052	-2.9428048	1.8842628	0.6669151	4.6231413	0.92218006	22.374302	368000.0	32525.867202997208
93	0.016574586	15.244157	13.818003	0.4011081	20.965437	4.3042607	28.491451	0.26094222	1.9301164	0.712562	6.068053	0.66661006	22.104973	372000.0	32877.22151684761
94	0.005586592	15.247136	13.820005	0.40787622	21.608126	3.3101623	29.549633	2.926039	1.9247525	0.5728524	4.8491764	0.91067636	22.368715	376000.0	33225.75364732742
95	0.016853932	15.247547	13.8127165	0.4010603	20.701479	4.0924234	29.944832	-0.34366602	1.9760292	0.7508723	5.129551	0.65882814	22.337078	380000.0	33580.16904783249
96	0.011173184	15.242645	13.813266	0.41039252	21.316647	4.1232004	29.44773	-2.430608	1.8583279	0.603544	4.195113	0.90725744	22.486034	384000.0	33936.006519556046
97	0.0056179776	15.242355	13.810638	0.40901417	21.00296	3.5442436	30.645042	4.259233	1.984458	0.66959983	5.0084143	0.90645677	22.35955	388000.0	34291.74786782265
98	0.02189781	15.225936	13.797731	0.4046248	20.815939	5.777031	28.029125	-26.451889	1.869851	0.7237611	5.1619887	0.90406406	29.357664	392000.0	34677.33106589317
99	0.0056497175	15.205407	13.785203	0.40173575	21.541649	3.3779767	28.92544	1.1880735	1.8289143	0.6270263	4.344064	0.6677363	22.497175	396000.0	35032.847507953644
100	0.005524862	15.199222	13.7743635	0.41304538	21.544048	3.2148187	29.158005	4.3212304	1.845584	0.6102839	4.9028215	0.67475766	22.154696	400000.0	35381.92174887657
101	0.0	15.200459	13.782539	0.40590668	21.304186	3.4620419	31.450375	10.526456	1.7932386	0.6216717	3.956576	0.6265626	22.449438	404000.0	35735.07806491852
102	0.011173184	15.198455	13.77901	0.40863502	21.639273	3.8842278	29.014057	-2.3455236	1.8803525	0.60611725	4.5534453	0.6737478	22.385475	408000.0	36086.968760728836
103	0.016666668	15.217892	13.80294	0.40025938	21.34017	3.84802	28.35117	-2.260853	1.781387	0.65754414	4.181523	0.6677658	22.222221	412000.0	36442.733095645905
104	0.005524862	15.218226	13.807193	0.40394542	21.560183	3.8075984	30.95243	-6.689207	1.8161881	0.6596147	5.736133	0.67194676	22.121548	416000.0	36799.03482437134
105	0.011111111	15.219671	13.804125	0.39650452	21.066246	3.8308012	29.28145	2.5575483	1.9401242	0.6406933	4.787201	0.9235392	22.205555	420000.0	37149.451222896576
106	0.0	15.214322	13.803722	0.40498132	21.660069	3.1822467	28.742353	10.457928	1.7738572	0.5448837	4.0114965	0.90588695	22.41573	424000.0	37504.049136161804
107	0.0	15.216	13.814424	0.4049326	21.436384	3.410711	28.471596	0.6025442	1.8235124	0.63580406	4.412314	0.66790134	22.25	428000.0	37854.925973415375
108	0.006329114	15.220244	13.822409	0.39637432	21.04242	3.6626713	29.080767	-1.0825514	1.9099616	0.5941296	3.6659918	0.9076776	22.272152	432000.0	38221.93062400818
109	0.006329114	15.189461	13.78998	0.40987706	21.050358	5.249598	30.399597	-27.884512	1.8574185	0.5695361	3.798498	0.91730386	28.462025	436000.0	38593.92641735077
110	0.0056179776	15.180419	13.778606	0.39875287	21.22498	3.5165796	30.307407	-1.4547224	1.8765212	0.567261	3.6478825	0.9115787	22.41573	440000.0	38949.42974972725
111	0.0	15.185651	13.791021	0.40780497	21.576086	2.9317174	28.082998	13.941973	1.8268721	0.5394687	3.6176703	0.667774	22.449438	444000.0	39302.14086008072
